分类,类型,话术示例
总结,方法概括,"""我们用的方法是：先...再...最后..."""
总结,方法命名,"""这种方法叫做{方法名称}，要记住。"""
总结,方法口诀,"""记住口诀：{口诀内容}"""
总结,思路提炼,"""解决这类问题的思路是：先分析数量关系，再列式计算。"""
总结,思路步骤,"""遇到多步问题时，应该分三步：第一步...第二步...第三步..."""
总结,思路关键,"""解题的关键是抓住{关键点}，其他问题迎刃而解。"""
总结,思路拓展,"""除了这种思路，还可以从另一个角度思考..."""
总结,思路错误,"""常见的错误思路是{错误思路}，我们要避免。"""
总结,易错强调,"""这道题容易错的地方是{易错点}，要特别注意。"""
总结,错误类型,"""常见的错误有{错误类型1}、{错误类型2}。"""
总结,防错方法,"""避免错误的方法是{方法1}和{方法2}。"""
总结,检查要点,"""算完后要检查{检查点1}和{检查点2}。"""
总结,错误纠正,"""如果发现{错误}，应该{纠正方法}。"""
总结,数字规律,"""你发现了吗？这类题的数字有{规律描述}。"""
总结,运算规律,"""混合运算的规律是：先乘除后加减，括号优先。"""
总结,题型规律,"""这类题型的共同点是{特点1}和{特点2}。"""
总结,方法规律,"""简便运算的规律：观察数字特征，运用运算定律。"""
总结,策略规律,"""解决实际问题的规律：读题→分析→列式→计算→检验。"""
总结,结束语,"""路虽远，行则将至，加油！"""
