分类,话术举例
读题,同学你好，很高兴为你讲解这道题。
读题,今天我们要讲解一组数学题，一共{题目数量}道。
读题,这些题目都是关于{题型描述}的，比如加法、减法运算。
读题,（观察）我注意到这些题都是{特征描述}，都是两位数加减法。
读题,这组题目由易到难排列，前面几题比较简单，后面逐渐增加难度。
读题,通过这组题目，我们要掌握{核心知识点}的计算方法。
读题,我们以第一题为例进行详细讲解，其他题目用同样的方法。
读题,讲解完后，大家可以自己尝试剩下的题目，检验学习效果。
读题,（观察）这组题目中，有些有括号，有些没有，要注意运算顺序的区别。
读题,仔细看这组题目，你发现了什么规律？有些数字是不是可以凑整简化计算啊。
读题,题目从简单到复杂，我们一步一步来，先掌握基础再挑战难题。
读题,我们来看这下道题：{题目}。
读题,题目里有数字{数字1}和{数字2}。
读题,这是{加法/减法}题，用{加号/减号}连接。
读题,（观察）这道题有{括号/多层运算}，要注意运算顺序。
读题,看到这样的题目，我们要想到{相关知识点}。
读题,题目要求我们{问题描述}。
读题,注意题目中的单位是{单位名称}。
读题,关键信息是{信息1}和{信息2}。
