分类,环节过渡,话术举例
模块间过渡衔接话术,开场→读题,下面我们来看具体的题目。
模块间过渡衔接话术,读题→分析,了解了题目，我们来分析一下解题思路。
模块间过渡衔接话术,读题→分析,看到题目，我们想一想这道题考察什么？
模块间过渡衔接话术,读题→分析,好的，现在我们分析一下这道题的解题要点。
模块间过渡衔接话术,分析→解答,知道了方法，现在我们来实际计算。
模块间过渡衔接话术,分析→解答,有了思路，我们动手算一算。
模块间过渡衔接话术,分析→解答,理论清楚了，接下来进行实际计算。
模块间过渡衔接话术,解答→总结,计算完成了，我们来总结一下这道题。
模块间过渡衔接话术,解答→总结,算出了答案，我们回顾一下解题过程。
模块间过渡衔接话术,解答→总结,答案出来了，我们总结一下学到的方法。
模块间过渡衔接话术,总结→结束,好了，这道题我们就将到这里。
步骤间过渡衔接话术,步骤开始,接下来...
步骤间过渡衔接话术,步骤开始,然后...
步骤间过渡衔接话术,步骤开始,现在...
步骤间过渡衔接话术,步骤强调,注意了，下面这一步很重要。
步骤间过渡衔接话术,步骤强调,这里有点复杂，我们慢慢来。
步骤间过渡衔接话术,步骤强调,这里容易出错，要仔细看。
步骤间过渡衔接话术,步骤衔接,做完第一步，我们看第二步。
步骤间过渡衔接话术,步骤衔接,接着，我们进行下一步计算。
步骤间过渡衔接话术,步骤衔接,然后，按照同样的方法...
步骤间过渡衔接话术,步骤小结,这一步完成了，我们得到了...
步骤间过渡衔接话术,步骤小结,好，这一步做完了，继续下一步。
,,
,,
